# name=authentication vectors
# cols=name:key:message:signature
# From the RFC4321:
RFC4312 Test Case 1:0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b:4869205468657265:b0344c61d8db38535ca8afceaf0bf12b881dc200c9833da726e9376c2e32cff7
RFC4312 Test Case 2:4a656665:7768617420646f2079612077616e7420666f72206e6f7468696e673f:5bdcc146bf60754e6a042426089575c75a003f089d2739839dec58b964ec3843
RFC4312 Test Case 3:aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa:dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd:773ea91e36800e46854db8ebd09181a72959098b3ef8c122d9635514ced565fe
RFC4312 Test Case 4:0102030405060708090a0b0c0d0e0f10111213141516171819:cdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcd:82558a389a443c0ea4cc819899f2083a85f0faa3e578f8077a2e3ff46729665b
RFC4312 Test Case 6:aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa:54657374205573696e67204c6172676572205468616e20426c6f636b2d53697a65204b6579202d2048617368204b6579204669727374:60e431591ee0b67f0d8a26aacbf5b77f8e0bc6213728c5140546040f0ee37f54
RFC4312 Test Case 7:aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa:5468697320697320612074657374207573696e672061206c6172676572207468616e20626c6f636b2d73697a65206b657920616e642061206c6172676572207468616e20626c6f636b2d73697a6520646174612e20546865206b6579206e6565647320746f20626520686173686564206265666f7265206265696e6720757365642062792074686520484d414320616c676f726974686d2e:9b09ffa71b942fcb27635fbcd5b0e944bfdc63644f0713938a7f51535c3a35e2
# Generated random vectors:
Generated vector 0:e1:8c59:7ccb9202577e861ebc64e0b399dcbb03b08be1dcf5280b41332e1dc8f84cd6f0
Generated vector 1:7ce0:9b60265b:a20a4e80caf6b04a07f88670be128bde73a22d342fe8c936b7e85a59d992d0ba
Generated vector 2:062cdc25:8d84612707dc42d6:4e859a9a201c2948b070096518720791321ba7c99d408faa8214a5451c003b79
Generated vector 3:fc95085ecaf23fbd:7187eb68a0d5fea1e9d539b1cc1ce5ea:9a33731fede1cfd76e1159e779800ce1453031be21416667439b7a11950fa2f9
Generated vector 4:a1eb371d5284d5bd2f528737fa158596:ed19943b1f7ab716144f86d238fe0b3a71b582f2c512d5f57f51aad71095052c:33413b5962bcef852df0bea90f45180c1b8d90715748382b2641f41af922e184
Generated vector 5:7562c48b13d02df53931cf2aee60a2f35ac363de114d00b26e84dd20dbf39ec5:8caa7de6368a461afc379ab098fa0b85ebfd1c9a952f758ab93851a759f5bf9916dd1a804676b8c8e6dba21e144d826c22f86eac47efa02b47c93543cc20dbb7:e830e0698076c76b1f4cafd9ac7a94fc7ee92720401c9d61cef58fc9fd17f965
Generated vector 6:24c65f3517e2d7c7983d1d22a3f39dfb64216c0b816b9430763606df56f9481a296f27e5749d7a0828daa6d7bcf2211ed53eab4af47bb098432709ae7bc7f526:e530d7a8e6311a6cf06f72513d4ad58d8e0114bd93d1dc64ebcd5dcf554c83e6c125e56c016250c08b631fa446610ad9045b96e3382041882056a16457e58934d3ad0cb701e321d827048c21918d24d7a3492ba560bcc1e7b2d29c2a7ebcebc1d91a6059292338764b32d60567258d9bf3d4ce2c7e118a02fe023475bec47b5c:066dac346f9433a91d6a04736364662132cbf3e051a3f5dfba7c27dc65c5b200
Generated vector 7:2d5cf6e564e2ab0d71a3f8fe43c4b26821ecb387df20a97e27c971082ecc2b50d5e81c047af53d8e3cc945beea191b5f5b4fb626cc0d17039e68aeb34096f0fad64c2e0d4d2f30d19f2905c91a562246b16d9e7644da0b7754f79f63067f47a5a5efd832fb72e6140226cb7be71bdae5fa558e482c66c667d705e4250847fedb:166861ae4d25ae8b66b0382a99fc104e942dc6d2b001f0e68b237bc3fa3cba8fb188b8f8cff830d1dc5191a36418b55d63e1e54a8901ded1dc555418607253f087f8101e31af6cd173f1934afd10ff99ea994ed1670703c8f48c294741062e595eb7da90373957a511fca868877c51d4b91524e514ec8a8037ad45fcec73484898780b1e58068cc757a344e5f6f18bb2ece879452d03e24c7171d82d22634272366f77ed32cf986eb0f0532804deac5ffc7445c43593bb03ac285be6b67bcccf287adc08da91428ae03e4e148ad2922da05af4d74550e5144cbc7b28d8f11787bc1ea5a30d47fdf18729e6ee78edb8066a15af3fe148bc4eafcfee38c4839e92:917171def81c092f11b25aee38052cb69eb7c483a62c950f19be4e07dc816690
Generated vector 8:beeaf950eeed475591fe80264bbf5f1dce38f81893a8ea402b3ee67c1bb7868c8c287a330ee8f83e3ffe5f36a934b91f47f3e94f72596b9642dea951492ae00d3610acd86196943bcd8ce49e873048d9c8ff757f0f5b352a1c0dd12a0b998c68d0fb68c2b185a50812424ece25e3247fa93b3a76ad92cb6ac52dd3756867ed6392cdc53c28a5e092fa610dc157ecd9b2c19e98504223beafb2d4a994dada1d8db1dc4e15532f8547d9ade95e629aea646f6a6f817238345affc60cc86c6c4b5370df6d67369d1056bdbea8ae6c7f72c40ed3fcf9d46d9975cec45e378716cd09dc495f402649fbb3a388ccb0ca659a433fc8d44420af20717cbcd160cb084a47:d5152f807b2c58b16dfc95c5971f6b2efd2ac2c393d8d64857d98c4a5e56b6608f9ec02c1b488689b10343d5375ff6b97a1cd6f6f66e7760959e5325997befe3815fcc52e02a1b7e2340d6e3eafc51ede4ae533c75559a18a406179d5f0b6039d0023bb45d04861b59caedc88a6f43e14741a01b2ef8a83c6d34df81549a580d18d5ff7840227892529d8fb72218f916c2b3811a0179fe39be5416b1ceb6c0f61ac6ccab4eb4867c5f17887e31177809902ce8d3c8e776a09e0e5a2834918e6ff1455cb0abda7dd9de367f4f0fe9caf0f6b2c58662838b4dc4beb2b6654d1e4fbe28ad63a08eab1a82ff8c4d91ccc2c712869cd6997096610c329caba0afe1c4bddaed450373341f89e86be7234c2ceb4d9a3d1630bc1f8668ebdfcbcfd40cc535e16b9ca98590dfcca75554bc18edb8686e2eb9896aa9ee2c7a71a1487dae3e2d484facc3745f93d242c68b33d10979046d26b64a0ecd17f506ca1362f84fd5f464158dabfaa5881700ac6f077102d62fa0aac6f07f4275b69234124773e57a456dd647abb543d35753a288fa2dbc6c76e64e0547aff7764ee074299b862ea54dfa354473496386816be8b502f77728c86c2987c8ae65dcede8ca2e4f51e0dbe0a0e4aa1f1d9c4a3de139a588cc4694dd1911b0cc416349b13b4667ca295b1e58e388ffc11b4005a8f7beb5981317c45cfbfce79f9bace29603981035c2671b:45cbda635efbace50fa9b966f0ad7ec23e0f6b3b0b7f73efb39dd08a84807c7d
Generated vector 9:15d6bcec17348e6adf5c57de8a50e50e4f31a48ee5d8562344e7f10cf8d4b1518c33fde59a2cca30599a977af77a58fda298f8e136efd4600824044c464115c19e5f48e5d781924d127d92cab60b858321438b072e8a41df4cfff8c58011e7f2939bfa802191a7d9fb5a8b5e0168fa05e8b35b8b17676e8355892083d42a34dd70a86a9e7c3b5cf44a4de3430e8000ea77ece9884a9a7c9154967e484d59182d034af3e16167c6190564d8ba7eca6423c0e9d5e010cc8ef5ce28bc1dc8fcbc0daf5a7371f0e80d87cbf3ce35fefcceb7c1dbe4e31f9bbd67b3572e64e290b5738960d169317e4b3462b5ce1628796fa8ebf16f1c762d7c588d2ed6998fc7778c56eec5605cbddb18f9beeab9e80d696446a1fafb1377d99c10b4440cb0b5e93e2fd9a66ad46c81663c2cfde92e6400ec9aeb7fccd424cd25870fa8b4def337b34b165db012946d1274566e58d2fd0f9cd3a37bdf609ead81d44bcfe1539d3988487bdbdf9271fa7a33015681b3bf0da02b4e40cfb327ceee9ac68aba39e9d9cb1dd78eeedbb30a1d2b53769bfde1b8e10a1115109bfce98ea65a663920a558dbb958f95ce6c7051aa09207cb834d1a51ba74885cc4b726b862480c8db6f675ae088a2a6a8b5927bea6e24ad79a07ea4c3d50799a0398b0f68ac87e3e583ea722d8bd5e230ba701679d22d1166a4ae046814920c6780e98eb1e8c371a767da141:96a002847e0ca2663a26d065b7852ad0ee57e0a6b4bed9103e6abf742c44a5a33552c0ace4a87ff15338d50ad54c1b107c9bcac8be1de8dde86f54a19f056b9b5f028d31ed4af3568d2b9fc1c16574e427b60f12eff49c5d47e692826755de5f6a4442080194c130a3edbad735581f9fbed33638d614ca961e29ac533e858690abceef44353444f9faa766fcebb56e433066dce73469a3eb2b3cc67582027fcdbcbd493299200e278557d00a063e810e2c02311ede92412a68ac4c844749025f9acb1f65d8aac32d4c3ea708c5ce4b2bae1737578be2f5364b19e360c1cb88e06dd991de6e4246b49e0eee09c0ad160d84de97c84e55d4a169d65a71cb39c4552cae290286742b92f809390bfe038ef5800a8165da6febe5226508af834b211c1f7862d918c5cb03d4f734c0b91126ce755f011c843226926ae28811adfaaa86bbcc73da56e483f00986c60c0f3ce109c1da0427c29c0f1e8c0927c1c8462bd059f37bdb87639afa7f9b06341ece77445cda7f8cec544ddd583862d5890b66170e83599e6cb28af520247573678495911a8f494ef796318098b244fc6c20b0ec9cf4147e6c35e28fa340c4fe4961ea9f123623f4bfc21f1593728a86984872ba91cda86ec2047d3404ef0f4b672b8525173df4ae5a56c797712948a230a616ca18738eefe889b21f90d7271058ba3f10161ce7b54a613fdc04e5453cf594be2f55c90917449a0ddaa0e2c9c55a494d18c41ab1aa1d2727f78cf4168d6b83e56c901c280fc410a14b5f829fa99822517154561082f73f854a7243f7238a56e90951670cbb1c05a50d697a157c2b96c2287a376b0355d70e6557256559d54e37caaa19687043e7c5675cb32dd756074470bfbb72a67ab6ee744af83f70c273e291b35d095fff15b3d91c95c164fae6373063c1e9792d10e24f50b78f55f28720cfb6eabd08b3c282ff380fce03904835d7b090ab0275687987fb647a09b0c49639c6369b7433a4269b656423192455d665533094607eeba486cb187d18e830467cfb765150ef990b05173a8fa371545acd1e32ba9d218e341b91a72ae732dc564933b69d8426609487a595e82cafdd2b0786da4def354edef9d0734bbd9e8c38a95d6e1643f1c99e0113a3864c7483a4b912fdc531d4d6e9cec8fb548c9d5fe36e089ae3b854c6cec7182da07f4f6da16f8217a4d67066099cb953a06aec228b3d70480d9ae62aa71f5e62bc09c981cc98c36a101fb09fe78d5d9b58a0ae5a01433469b48eaa894339f9ded44c540262249c98ee9aea122e56958fab4232c3be720d4185eb33a3dff704069ee4d133e79315d6c1f9baf114908d49303db0c6747aa1c18f59f34900339d8482c965d2e8f2e4431461308f66cf37a365f69053f9b9f1bd05c04a7d1a94c4b8978ddf2ef180af397b368959ba8f7cf679ef5289281f:bab8faa28d498058da82b11d0ccc68c1d3f946479912aa5c069b9c7b7c250eb3
