# name=exchange vectors
# cols=name:random:localPublic:localSecret:peersPublic:peersSecret:sharedSecret
All zeros:00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000:2fe57da347cd62431528daac5fbb290730fff684afc4cfc2ed90995f58cb3b74:0000000000000000000000000000000000000000000000000000000000000000:2fe57da347cd62431528daac5fbb290730fff684afc4cfc2ed90995f58cb3b74:2fe57da347cd62431528daac5fbb290730fff684afc4cfc2ed90995f58cb3b74:57767855377b3c11ba303d7d707f2366b92807a583c40a610ae515052c8bb53d
All 0xff:ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff:847c0d2c375234f365e660955187a3735a0f7613d1609d3a6a4d8c53aeaa5a22:ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff:847c0d2c375234f365e660955187a3735a0f7613d1609d3a6a4d8c53aeaa5a22:847c0d2c375234f365e660955187a3735a0f7613d1609d3a6a4d8c53aeaa5a22:a8f07dbc18dfcad69dd264e19cb018ce3ab2581d8b29607d0db94966b0af4f10
Generated vector 0:6986c1c25aa17119440b488c7c8c3c90a4613dd9adf0ca248bac1b123af6a8722197ebc8997da95a5d468d806b5bd459efebf914369ca62790d99d0b67c183e8:58941730c3dc98c050b719d854a40ae638660aab68fac6de9a13bf5da0ec1552:6986c1c25aa17119440b488c7c8c3c90a4613dd9adf0ca248bac1b123af6a872:1d255a65d2ea9a27e90ef3a265d11189876cbee92b7b2c86b87bcfbc2e6c6a1b:1d255a65d2ea9a27e90ef3a265d11189876cbee92b7b2c86b87bcfbc2e6c6a1b:fb28533bf20001365f0f192b0a77a64dd83b06444563cf3764c78f6e99236dcd
Generated vector 1:7100b3f1776e169b6e75759bab6297d74ae4781b69fefc31fd9a238a384d6d3091cae207b495e33a4c2cec56c9c4ad6e640d90d4eb5dbcd4f3098c4ed6007e3f:81c394608cc9369b8fb1cea8f7c6e208a816d25bdbdea2751d32e6b5a6337b1b:7100b3f1776e169b6e75759bab6297d74ae4781b69fefc31fd9a238a384d6d30:a68298796dff327413606154c4c3c9cb9fd285d2ff475199719a4293c023ac2c:a68298796dff327413606154c4c3c9cb9fd285d2ff475199719a4293c023ac2c:d62ce52624c17c43e9f95e7de09fb7b6e26db7234a835ca6f6baa150ef6dd882
Generated vector 2:0097ebbfd1357b36abbad8caf588b893c1889dc0d6bc55997c99c03e6c9a7e36b76dad46aec42f106aa6766959475b81fd33a24e50544aad3f474d17ff13dc75:12f763369171c2a69536a0c0429f5ca04001bac7b78b95fa1db869fca47dc81d:0097ebbfd1357b36abbad8caf588b893c1889dc0d6bc55997c99c03e6c9a7e36:68ec94cb342e1e21c3ef3480ac6b42bdc5ddccf4d0916d49548c7d9bfec8e266:68ec94cb342e1e21c3ef3480ac6b42bdc5ddccf4d0916d49548c7d9bfec8e266:0245b7771616c6abaedf793dafdbdca4f26df3a5f250d0cdeebf01c36d16f76b
Generated vector 3:c25bd7e20924390c7dc3c7f4da057019435aa10e7a9deff8665fb4d3e047c3a4446a84630ab5a01889375ae907135a7202b5c4acc49beea7a8ea9ba18ad8baf3:501a45df6a6ce1e6325b68d32ad048a666dd0809b3a48329bdfc1b2e0a24b35d:c25bd7e20924390c7dc3c7f4da057019435aa10e7a9deff8665fb4d3e047c3a4:768d3a687e933c142dacccbb6e30bc11d0707188cf3c1d2abbde5b421e00a215:768d3a687e933c142dacccbb6e30bc11d0707188cf3c1d2abbde5b421e00a215:9692feb93949b69ae4aeb3604a71dec44816ae1ab76f6f9988d8dcdbe148bc30
Generated vector 4:0d8b2e033186a8697c29a0e6fb58e8d69751fd7c7c5454f5a7cfec95446e0874092a4a2c001296986faf8da348dda046523ba51a2a090ac902701f9502526180:99859fb1c442973f46f52fab3eabecc846efdf1953e4542d9524a62d2a628214:0d8b2e033186a8697c29a0e6fb58e8d69751fd7c7c5454f5a7cfec95446e0874:7e4e72dbed5156c40050d81caeae344509f3200c46b6ec4da256a5fa8bf68646:7e4e72dbed5156c40050d81caeae344509f3200c46b6ec4da256a5fa8bf68646:481824c85a863a1244142b591e59493189ce32b69f07ac0a2cb70424fe6ff957
Generated vector 5:072d3a76d759d1d6b7129d37f3ed6893741a01fd5ab14afc322f77095d27590a8509ae3c94207c2b9cedb5d976e593568f9abf97f7e03cc6a9d121a436813f04:2b3f6a67d531c8ecab7251908cd27bce006a38dc53b58058550692aea89fba30:072d3a76d759d1d6b7129d37f3ed6893741a01fd5ab14afc322f77095d27590a:f252124097de64ddf11ae06dbedd74c2e899d68b3b35fb1e65b6e0c2c0aff813:f252124097de64ddf11ae06dbedd74c2e899d68b3b35fb1e65b6e0c2c0aff813:5c15cec1b8e2fdb6166fa500599068d07da671c8a1a48608aff0eac613d2aa37
Generated vector 6:ace8052d303bb5c9d785597255f42a0b2914b653c4cd3c492eb13902b10a0b5bd26385007f44173e460400db597066025fcaa4d234d6efb8dbe14fca49e98e32:5096d2e8cbf1377b1cca3f8ed0e4d138cecce3f31ad4033f904d11ebbe066808:ace8052d303bb5c9d785597255f42a0b2914b653c4cd3c492eb13902b10a0b5b:aa6a76c5b495e020009c797818dd890ae47e8d863f52bbcddaf2c93fdf10dc6e:aa6a76c5b495e020009c797818dd890ae47e8d863f52bbcddaf2c93fdf10dc6e:7dd771a142188c8841994540644f5b9711473114f60b209b81f6f6a321328831
Generated vector 7:b7c4042a1057610db6f0a2adb102dec99b541aa5a907cd3121c338add40b9545f92de177fb9ced910d2647725f66854c7ddea27462311c0693644f5187709d2c:c36eeb352fecf65563e5d2fdbcea53fdf11f44abc31ae714ace21a3301261852:b7c4042a1057610db6f0a2adb102dec99b541aa5a907cd3121c338add40b9545:e33c7e7a8e5df0eba4a6d840d5814bcabba3ee83a8578918422eb56e2ffbde7b:e33c7e7a8e5df0eba4a6d840d5814bcabba3ee83a8578918422eb56e2ffbde7b:ef0b82c088db3fdd99e60a74fd3a8369979a7c0e21e1924aa3ca512afd985da2
Generated vector 8:95963fab6b8622e1cf8a72eea563ab5d6eee9563606010a42d2f3cb567f80b02fd91c47a8d2438d81041f8262c7bd75c3270c69e67e12f2a478e0cbb4609a5b9:b80ea7843137e232b3855e8c3d5de6f7661c637fee58e3f623381bef305a8d4b:95963fab6b8622e1cf8a72eea563ab5d6eee9563606010a42d2f3cb567f80b02:e3a17c9ebcfa0cfa1f459a19d294290c1faab9db132be549083a2d7f1793b026:e3a17c9ebcfa0cfa1f459a19d294290c1faab9db132be549083a2d7f1793b026:b916581ac863dc9a33e08bb27a633de04d453b3bd9a233df9bec50dc2d1f8d2e
Generated vector 9:629d4fd6ec9afcca96dccb743b18b102f12125025c663c87d3481758e45d22a67cdaa35f6909eaa2a21ad44b2f3510da3e81df667f58cd50695c094803722c9b:62dbbdc800da9da159e9a12b64768270134da23d28b4c6cc20f184521f18057a:629d4fd6ec9afcca96dccb743b18b102f12125025c663c87d3481758e45d22a6:70af9b61e516ed68e45a503790ed198af26bfe821352cfd00d8b5ba5aecb7d05:70af9b61e516ed68e45a503790ed198af26bfe821352cfd00d8b5ba5aecb7d05:187d0a3046f1ad1dcc3995a544a887c4dd55c946dd48899025a9416cb11b2d5e
